question,options,phase,severity
"I occasionally worry about minor matters.","not at all;a little;somewhat;more than avg;a lot","anxiety","low"
"At times, I have difficulty making small decisions.","not at all;a little;somewhat;more than avg;a lot","depression","low"
"I occasionally feel less cheerful that other.","not at all;a little;somewhat;more than avg;a lot","depression","low"
"Have you been bothered by trouble falling asleep, staying asleep, or sleeping too much over the last two weeks?","not at all;a little;somewhat;more than avg;a lot","depression","low"
"Have you been bothered by feeling nervous, anxious, or on edge over the last two weeks?","not at all;a little;somewhat;more than avg;a lot","anxiety","low"
"Sometimes, unexpected events upset my routine.","not at all;a little;somewhat;more than avg;a lot","depression","medium"
"I occasionally find myself preoccupied with unimportant thoughts.","not at all;a little;somewhat;more than avg;a lot","depression","medium"
"I feel that sometimes struggle to overcome difficulties.","not at all;a little;somewhat;more than avg;a lot","depression","medium"
"How often have you been bothered by feeling stressed over the last two weeks?","not at all;a little;somewhat;more than avg;a lot","stress","medium"
"How often have you been bothered by feeling down, depressed, or hopeless over the last two weeks?","not at all;a little;somewhat;more than avg;a lot","depression","medium"
"I feel constantly overwhelmed by my worries.","not at all;a little;somewhat;more than avg;a lot","stress","high"
"I feel confused and indecisive most of the time.","not at all;a little;somewhat;more than avg;a lot","anxiety","high"
"I wish I could experience the happiness that others seem to have.","not at all;a little;somewhat;more than avg;a lot","depression","high"
"How often have you been bothered by being so restless that it's hard to sit still over the last two weeks?","not at all;a little;somewhat;more than avg;a lot","stress","high"
"How often have you been bothered by not being able to stop or control worrying over the last two weeks?","not at all;a little;somewhat;more than avg;a lot","anxiety","high"
"Have you experienced a loss of interest or pleasure in activities recently?","not at all;a little;somewhat;more than avg;a lot","depression","medium"
"Do you struggle with feelings of guilt or worthlessness?","not at all;a little;somewhat;more than avg;a lot","depression","high"
"Have you had any thoughts of self-harm or suicide?","not at all;a little;somewhat;more than avg;a lot","depression","high"
"Do you have difficulty enjoyinh positive experiences or feeling pleasure?",,"not at all;a little;somewhat;more than avg;a lot","depression","low"
"Have you noticed an increase in irritability or mood swings?","not at all;a little;somewhat;more than avg;a lot","anxiety","medium"
"Have you ever avoided certain situations or activities due to fear or anxiety?","not at all;a little;somewhat;more than avg;a lot","anxiety","low"
"Do you experience panic attacks or sudden feelings of intense fear?","not at all;a little;somewhat;more than avg;a lot","anxiety","high"
"Have you experienced physical symptoms such as rapid heartbeat or shirtness of breath during anxious episodes?","not at all;a little;somewhat;more than avg;a lot","anxiety","low"
"Have you noticed an increase in muscle tension or headaches?","not at all;a little;somewhat;more than avg;a lot","stress","medium"
"Do you ever find it difficult to unwind or relax after a stressful day?","not at all;a little;somewhat;more than avg;a lot","stress","low"
"Have you experienced changes in your appetite or sleep patterns due to stress?","not at all;a little;somewhat;more than avg;a lot","stress","high"
"Have you noticed an increase in irritability or anger?","not at all;a little;somewhat;more than avg;a lot","stress","medium"
"Have you ever sought professional help for stress management in the past?","not at all;a little;somewhat;more than avg;a lot","stress","high"
"Do you engage in stress-reducing activities such as exercise or mindfulness practices?","not at all;a little;somewhat;more than avg;a lot","stress","high"
"Do you get overwhelmed or feel unable to cope with daily demands?","not at all;a little;somewhat;more than avg;a lot","stress","low"
"Do you feel restless or on edge?","not at all;a little;somewhat;more than avg;a lot","anxiety","medium"
"How frequently do you experience excessive worry or fear?","not at all;a little;somewhat;more than avg;a lot","anxiety","medium"
"Do you struggle with intrusive thoughst or repetitive behaviors?","not at all;a little;somewhat;more than avg;a lot","anxiety","high"
"Have you ever found it challenging to relax or feel a sense of calm?","not at all;a little;somewhat;more than avg;a lot","anxiety","low"
"Have you ever had difficulty focusing or had racing thoughts?","not at all;a little;somewhat;more than avg;a lot","anxiety","low"
"Do you frequently experience racing thoughts or have difficulty focusing?","not at all;a little;somewhat;more than avg;a lot","anxiety","medium"
"How often do you feel sad or downhearted without a valid reason or over past things?","not at all;a little;somewhat;more than avg;a lot","depression","high"
"Have you been feeling more insecure or hating yourself lately?","not at all;a little;somewhat;more than avg;a lot","depression","medium"
"Do you get so nervous that you have to sit down and force yourself to calm down?","not at all;a little;somewhat;more than avg;a lot","anxiety","high"
"Have you ever felt that nothing is going your way even though there was no solid proof to justify that?","not at all;a little;somewhat;more than avg;a lot","stress","low"
